"TOA5","CR3000_Estacao","CR3000","4133","CR3000.Std.10","CPU:BETANIA_sem sonico.CR3","44827","Baixa2"
"TIMESTAMP","RECORD","HMP45C_Temp_Max","HMP45C_Temp_TMx","HMP45C_RH_SMM","HMP45C_Temp_Min","HMP45C_Temp_TMn","HMP45C_RH_Max","HMP45C_RH_TMx","HMP45C_RH_Min","HMP45C_RH_TMn","RM05103_Veloc_Max","RM05103_Veloc_TMx","TB4_Tot"
"TS","RN","dec_C","dec_C","%","dec_C","dec_C","%","%","%","%","m/s","m/s","mm"
"","","Max","TMx","SMM","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Tot"
"2016-07-09 00:00:00",141,34.27233,"2016-07-08 13:23:01",45.49,23.43383,"2016-07-08 05:55:19",90.50688,"2016-07-08 06:58:46",42.5901,"2016-07-08 13:40:32",4.606,"2016-07-08 14:49:00",0
"2016-07-10 00:00:00",142,33.43729,"2016-07-09 14:45:56",50.57,23.52395,"2016-07-09 05:33:51",87.45074,"2016-07-09 11:49:10",46.48677,"2016-07-09 15:48:36",6.272,"2016-07-09 11:29:22",5
"2016-07-11 00:00:00",143,34.30571,"2016-07-10 14:09:56",42.73,23.79377,"2016-07-10 23:26:58",92.40143,"2016-07-10 23:53:51",40.12243,"2016-07-10 14:10:29",5.292,"2016-07-10 22:00:29",1.4
"2016-07-12 00:00:00",144,34.41526,"2016-07-11 13:18:20",46.54,23.33226,"2016-07-11 05:24:58",92.48182,"2016-07-11 00:02:54",44.56984,"2016-07-11 13:19:46",4.998,"2016-07-11 16:38:17",0
"2016-07-13 00:00:00",145,32.37611,"2016-07-12 10:18:32",59.33,24.79858,"2016-07-12 02:45:19",91.65948,"2016-07-12 03:40:45",55.92112,"2016-07-12 10:24:46",7.056,"2016-07-12 11:28:33",0
"2016-07-14 00:00:00",146,34.27042,"2016-07-13 15:18:13",52.04,23.70514,"2016-07-13 04:20:08",90.84446,"2016-07-13 06:26:00",47.40418,"2016-07-13 15:12:56",5.194,"2016-07-13 14:06:35",0
"2016-07-15 00:00:00",147,34.67734,"2016-07-14 13:11:21",43.86,24.43365,"2016-07-14 23:54:03",84.63428,"2016-07-14 04:48:51",37.95361,"2016-07-14 14:20:57",6.958,"2016-07-14 14:40:10",0
"2016-07-16 00:00:00",148,34.51817,"2016-07-15 14:02:20",47.45,22.71016,"2016-07-15 06:34:22",91.29241,"2016-07-15 04:29:45",40.33729,"2016-07-15 11:57:09",5.39,"2016-07-15 12:28:42",0
"2016-07-17 00:00:00",149,35.20216,"2016-07-16 12:49:30",43.2,24.10121,"2016-07-16 06:09:47",88.41051,"2016-07-16 06:06:50",39.81652,"2016-07-16 13:00:51",3.43,"2016-07-16 12:51:53",0
"2016-07-18 00:00:00",150,35.35481,"2016-07-17 14:17:41",35.47,24.57278,"2016-07-17 05:17:01",88.59724,"2016-07-17 03:53:36",33.5729,"2016-07-17 14:00:33",5.096,"2016-07-17 14:00:06",0
